,latitude,longitude,time,u10,v10
1521248,-26.75,-46.75,1994-01-01,-4.1171265,-3.0775926
1525632,-26.75,-46.5,1994-01-01,-4.176262,-2.9634566
1530016,-26.75,-46.25,1994-01-01,-4.233549,-2.7685091
1534400,-26.75,-46.0,1994-01-01,-4.3776913,-2.5885577
1538784,-26.75,-45.75,1994-01-01,-4.457154,-2.4410973
1543168,-26.75,-45.5,1994-01-01,-4.529225,-2.331127
1547552,-26.75,-45.25,1994-01-01,-4.6280913,-2.0970232
1551936,-26.75,-45.0,1994-01-01,-4.660431,-1.8470904
1556320,-26.75,-44.75,1994-01-01,-4.8295207,-1.546338
1560704,-26.75,-44.5,1994-01-01,-5.1298165,-1.2822424
1565088,-26.75,-44.25,1994-01-01,-5.345105,-1.0531373
1569472,-26.75,-44.0,1994-01-01,-5.511423,-0.7573836
1573856,-26.75,-43.75,1994-01-01,-5.551154,-0.45579803
1578240,-26.75,-43.5,1994-01-01,-5.4781594,-0.0417428
1582624,-26.75,-43.25,1994-01-01,-5.3432574,0.31566095
1587008,-26.75,-43.0,1994-01-01,-5.2776546,0.78053594
1591392,-26.75,-42.75,1994-01-01,-5.0281777,1.1362736
1595776,-26.75,-42.5,1994-01-01,-4.8516965,1.5170045
1600160,-26.75,-42.25,1994-01-01,-4.6151557,1.8285873
1604544,-26.75,-42.0,1994-01-01,-4.385083,2.0835187
1608928,-26.75,-41.75,1994-01-01,-4.1901217,2.2659695
1613312,-26.75,-41.5,1994-01-01,-4.1069627,2.3367841
1617696,-26.75,-41.25,1994-01-01,-4.0533714,2.3676088
1622080,-26.75,-41.0,1994-01-01,-4.0709276,2.3867705
1626464,-26.75,-40.75,1994-01-01,-4.116203,2.360944
1630848,-26.75,-40.5,1994-01-01,-4.142998,2.3676088
1635232,-26.75,-40.25,1994-01-01,-4.033044,2.4350908
1639616,-26.75,-40.0,1994-01-01,-3.7613916,2.5575578
1644000,-27.0,-48.0,1994-01-01,-5.2776546,-4.0456657
1648384,-27.0,-47.75,1994-01-01,-5.029102,-3.567461
1652768,-27.0,-47.5,1994-01-01,-4.5504766,-3.3675146
1657152,-27.0,-47.25,1994-01-01,-4.248333,-3.3300247
1661536,-27.0,-47.0,1994-01-01,-4.1393023,-3.3700142
1665920,-27.0,-46.75,1994-01-01,-4.302848,-3.31003
1670304,-27.0,-46.5,1994-01-01,-4.4026384,-3.2075577
1674688,-27.0,-46.25,1994-01-01,-4.4275866,-3.02594
1679072,-27.0,-46.0,1994-01-01,-4.514441,-2.8551526
1683456,-27.0,-45.75,1994-01-01,-4.607764,-2.7035267
1687840,-27.0,-45.5,1994-01-01,-4.827673,-2.4286005
1692224,-27.0,-45.25,1994-01-01,-4.9745865,-2.149509
1696608,-27.0,-45.0,1994-01-01,-5.2037354,-1.698797
1700992,-27.0,-44.75,1994-01-01,-5.435656,-1.2605815
1705376,-27.0,-44.5,1994-01-01,-5.7147,-0.98565555
1709760,-27.0,-44.25,1994-01-01,-5.917053,-0.70656395
1714144,-27.0,-44.0,1994-01-01,-6.075055,-0.40997708
1718528,-27.0,-43.75,1994-01-01,-5.961405,-0.11339021
1722912,-27.0,-43.5,1994-01-01,-5.8292747,0.27400565
1727296,-27.0,-43.25,1994-01-01,-5.6065936,0.6080823
1731680,-27.0,-43.0,1994-01-01,-5.3367896,0.9554889
1736064,-27.0,-42.75,1994-01-01,-5.087313,1.3020623
1740448,-27.0,-42.5,1994-01-01,-4.7722335,1.5245025
1744832,-27.0,-42.25,1994-01-01,-4.5015054,1.8069265
1749216,-27.0,-42.0,1994-01-01,-4.2603445,2.0002077
1753600,-27.0,-41.75,1994-01-01,-4.095875,2.2018201
1757984,-27.0,-41.5,1994-01-01,-3.9914646,2.253473
1762368,-27.0,-41.25,1994-01-01,-3.9387972,2.2326453
1766752,-27.0,-41.0,1994-01-01,-3.957277,2.2459753
1771136,-27.0,-40.75,1994-01-01,-4.104191,2.3434489
1775520,-27.0,-40.5,1994-01-01,-4.16887,2.374274
1779904,-27.0,-40.25,1994-01-01,-4.0644593,2.4242604
1784288,-27.0,-40.0,1994-01-01,-3.9249375,2.430092
1788672,-27.25,-48.0,1994-01-01,-5.3811407,-4.5855203
1793056,-27.25,-47.75,1994-01-01,-4.969043,-3.941527
1797440,-27.25,-47.5,1994-01-01,-4.582816,-3.797399
1801824,-27.25,-47.25,1994-01-01,-4.281596,-3.7582428
1806208,-27.25,-47.0,1994-01-01,-4.3407316,-3.6041179
1810592,-27.25,-46.75,1994-01-01,-4.5135174,-3.5358028
1814976,-27.25,-46.5,1994-01-01,-4.6188517,-3.4216666
1819360,-27.25,-46.25,1994-01-01,-4.6742907,-3.2767057
